Designator,Footprint,Quantity,Value,LCSC Part #
C10,CP_Radial_D5.0mm_P2.00mm,1,5,
C11,CP_Elec_10x10.5,1,10,
C12,CP_Elec_8x10.5,1,8,
C13,CP_Elec_6.3x5.9,1,6,
C14,CP_Elec_5x5.7,1,5,
C15,CP_Elec_4x5.3,1,4,
C6,CP_Radial_D10.0mm_P5.00mm,1,10,
C7,CP_Radial_D8.0mm_P3.50mm,1,8,
C8,CP_Radial_D6.3mm_P2.50mm,1,6,
C9,CP_Radial_D4.0mm_P2.00mm,1,4,
D1,D_SOD-123,1,1N4148W,
D2,D_SOD-323,1,1N4148WS,
D3,D_SMA,1,SMAJ5.0A,
D4,D_SMB,1,Z2SMBxxx,
D5,SOT-323_SC-70,1,BAS16W,
D6,D_SMC,1,1.5SMCxxA,
D7,D_SMF,1,SMF5V0A,
L1,1008,1,1008,
L2,1210,1,1210,
"L3, R9",1812,2,1812,
"L4, R7",2512,2,2512,
L5,L_6.3x6.3_H3,1,6.3x6.3,
L6,L_7.3x7.3_H4.5,1,7.3x7.3,
L7,L_10.4x10.4_H4.8,1,10.4x10.4,
Q1,SOT-523,1,DMG1012T,
R1,0201,1,0201,
R2,0402,1,0402,
R3,0603,1,0603,
R4,0805,1,0805,
R5,1206,1,1206,
R6,2010,1,2010,
R8,4020,1,4020,
U1,SOT-23-5,1,LP2985-1.8,
U19,BGA-484_23.0x23.0mm_Layout22x22_P1.0mm,1,FU540-C000,
U2,SOT-223-3_TabPin2,1,LM317_SOT-223,
U20,SOT-23-6,1,INA181,
U3,SOT-89-3,1,LM317L_SOT-89,
