Designator,Mid X,Mid Y,Rotation,Layer
C1,126.3,-95.13,90.0,top
C10,180.352771,-79.425,0.0,top
C11,135.046667,-90.33,0.0,top
C12,149.828333,-91.33,0.0,top
C13,162.525,-92.28,0.0,top
C14,152.028333,-79.575,0.0,top
C15,141.0875,-79.075,0.0,top
C16,111.525,-93.53,90.0,top
C17,125.05,-86.45,90.0,top
C18,119.9125,-87.425,0.0,top
C19,113.375,-86.925,0.0,top
C2,124.019,-94.92,90.0,top
C20,123.15,-79.675,90.0,top
C21,114.6,-79.775,180.0,top
C22,105.9,-79.3,180.0,top
C23,104.175,-90.425,180.0,top
C24,131.246667,-78.575,0.0,top
C25,162.436395,-80.675,180.0,top
C3,121.298,-94.81,90.0,top
C4,118.307,-94.35,90.0,top
C5,115.126,-94.13,90.0,top
C6,184.125,-90.58,180.0,top
C7,173.002651,-91.58,180.0,top
C8,171.99568,-80.075,180.0,top
C9,187.389646,-78.925,0.0,top
D1,265.6725,-91.005,270.0,top
D2,270.3,-90.96,90.0,top
D3,255.4175,-90.96,90.0,top
D4,248.89,-90.96,90.0,top
D5,266.0435,-81.075,90.0,top
D6,240.7625,-91.005,270.0,top
D7,260.845,-91.005,270.0,top
L1,223.025,-84.582857,0.0,top
L10,222.555,-79.461429,0.0,top
L11,222.825,-81.712143,0.0,top
L12,223.425,-87.803571,0.0,top
L13,224.075,-94.705,0.0,top
L14,213.785,-79.855,270.0,top
L2,223.355,-91.254286,0.0,top
L3,218.175,-79.625,270.0,top
L4,209.415,-80.505,270.0,top
L5,202.875,-80.075,180.0,top
L6,215.925,-92.005,0.0,top
L7,204.875,-90.455,180.0,top
L8,221.775,-76.1,0.0,top
L9,222.005,-77.590714,0.0,top
Q1,270.3,-80.9625,90.0,top
R1,84.759553,-76.082356,180.0,top
R10,84.929553,-79.316642,90.0,top
R11,85.549553,-84.220927,90.0,top
R12,85.879553,-89.965213,270.0,top
R13,86.449553,-93.937356,270.0,top
R14,78.875,-82.811667,270.0,top
R15,78.025,-77.98,90.0,top
R16,69.35,-86.833333,0.0,top
R2,84.529553,-77.224499,180.0,top
R3,85.079553,-81.668785,0.0,top
R4,85.279553,-86.99307,0.0,top
R5,80.375,-93.005,270.0,top
R6,68.25,-77.33,180.0,top
R7,68.9,-81.631667,0.0,top
R8,70.87,-93.005,180.0,top
R9,78.555,-87.363333,0.0,top
U1,260.932,-81.075,270.0,top
U10,244.55,-47.925,270.0,top
U11,266.06,-59.035,270.0,top
U12,244.7,-57.095,270.0,top
U13,266.435,-53.41,270.0,top
U14,266.435,-46.09,270.0,top
U15,234.65,-21.92,270.0,top
U16,260.46,-23.47,270.0,top
U17,257.035,-46.72,90.0,top
U18,233.0,-57.47,0.0,top
U19,258.875,-127.8,0.0,top
U2,241.0875,-81.075,270.0,top
U20,255.4505,-81.075,270.0,top
U21,272.96,-43.84,270.0,top
U22,246.355,-36.38,90.0,top
U23,272.235,-38.81,270.0,top
U24,232.975,-49.82,90.0,top
U25,272.485,-33.63,90.0,top
U26,234.65,-33.27,270.0,top
U27,256.38,-36.445,270.0,top
U28,256.755,-56.05,270.0,top
U29,246.78,-23.555,270.0,top
U3,249.169,-80.775,270.0,top
U4,273.785,-52.44,270.0,top
U5,273.465,-59.36,90.0,top
U6,232.975,-42.57,90.0,top
U7,271.215,-25.98,0.0,top
U8,271.91,-19.605,270.0,top
U9,264.98,-35.985,270.0,top
